A;2634465;1243725
B;2634901;1243769
C;2635121;1243922
D;2634684;1243304
E;2634504;1243372
F;2634161;1243577
G;2634536;1243884
H;2634271;1244254
I;2634022;1244063
J;2635363;1243444
K;2633722;1242544
L;2633951;1242889
M;2633423;1243073
N;2634015;1243850
O;2633242;1243361
P;2634782;1244135
Q;2634467;1244327
R;2632560;1243512
S;2632710;1243411
T;2633060;1243394
U;2632921;1243603
V;2635076;1244341
W;2635059;1244678
X;2635356;1244670
Y;2635320;1244398
Z;2635742;1244333
